"Name","Risk","RiskString","EvidenceDetails"
"https://www.sendspace.com/","82","3/35","{""EvidenceDetails"": [{""SourcesCount"": 16.0, ""SightingsCount"": 63.0, ""CriticalityLabel"": ""Unusual"", ""Rule"": ""Historically Reported as a Defanged URL"", ""EvidenceString"": ""63 sightings on 16 sources including: Google Play Store, US CERT CISA Alerts, FBI | IC3 Industry Alerts, Malware Analysis News and Indicators Latest Posts, ankaa-pmo.com. Most recent link (Mar 27, 2023): https://ankaa-pmo.com/en/stopransomware-hive-ransomware/"", ""Sources"": [""TEO2PJ"", ""hhY_oz"", ""m3f4aB"", ""lmoHXq"", ""idn:ankaa-pmo.com"", ""idn:drware.com"", ""Kd3jl6"", ""JfqIbv"", ""idn:uvu.edu"", ""qiPy6F"", ""idn:torchsec.org"", ""idn:cisa.gov"", ""idn:spinsafe.com"", ""idn:tucloudserver.com"", ""lqQSAm"", ""idn:infoblox.com""], ""Timestamp"": ""2023-03-27T08:40:20.880Z"", ""Name"": ""defangedURL"", ""MitigationString"": """", ""Criticality"": 1.0}, {""SourcesCount"": 1.0, ""SightingsCount"": 1.0, ""CriticalityLabel"": ""Unusual"", ""Rule"": ""Historically Detected Phishing Techniques"", ""EvidenceString"": ""1 sighting on 1 source: Urlscan.io. Brand-related image detected on site. Target: UNKNOWN. Last observed on Jul 20, 2020."", ""Sources"": [""eKv4Jm""], ""Timestamp"": ""2020-07-20T00:00:00.000Z"", ""Name"": ""phishingSiteDetected"", ""MitigationString"": """", ""Criticality"": 1.0}, {""SourcesCount"": 1.0, ""SightingsCount"": 1.0, ""CriticalityLabel"": ""Malicious"", ""Rule"": ""Recently Reported by Insikt Group"", ""EvidenceString"": ""1 sighting on 1 source: Insikt Group. 1 report: CISA Releases Advisory on LockBit 3.0 TTPs. Most recent link (Mar 21, 2023): https://app.recordedfuture.com/portal/analyst-note/doc:qd_m7U"", ""Sources"": [""VKz42X""], ""Timestamp"": ""2023-03-21T00:00:00.000Z"", ""Name"": ""recentAnalystNote"", ""MitigationString"": """", ""Criticality"": 3.0}]}"
"https://send.exploit.in/","81","2/35","{""EvidenceDetails"": [{""SourcesCount"": 16.0, ""SightingsCount"": 58.0, ""CriticalityLabel"": ""Unusual"", ""Rule"": ""Historically Reported as a Defanged URL"", ""EvidenceString"": ""58 sightings on 16 sources including: Infoblox Blog, Google Play Store, US CERT CISA Alerts, FBI | IC3 Industry Alerts, Malware Analysis News and Indicators Latest Posts. Most recent link (Mar 27, 2023): https://ankaa-pmo.com/en/stopransomware-hive-ransomware/"", ""Sources"": [""jbVMcA"", ""TEO2PJ"", ""hhY_oz"", ""m3f4aB"", ""lmoHXq"", ""idn:ankaa-pmo.com"", ""idn:drware.com"", ""Kd3jl6"", ""JfqIbv"", ""idn:uvu.edu"", ""qiPy6F"", ""idn:torchsec.org"", ""idn:cisa.gov"", ""idn:spinsafe.com"", ""idn:tucloudserver.com"", ""lqQSAm""], ""Timestamp"": ""2023-03-27T08:40:20.880Z"", ""Name"": ""defangedURL"", ""MitigationString"": """", ""Criticality"": 1.0}, {""SourcesCount"": 1.0, ""SightingsCount"": 1.0, ""CriticalityLabel"": ""Malicious"", ""Rule"": ""Recently Reported by Insikt Group"", ""EvidenceString"": ""1 sighting on 1 source: Insikt Group. 1 report: CISA Releases Advisory on LockBit 3.0 TTPs. Most recent link (Mar 21, 2023): https://app.recordedfuture.com/portal/analyst-note/doc:qd_m7U"", ""Sources"": [""VKz42X""], ""Timestamp"": ""2023-03-21T00:00:00.000Z"", ""Name"": ""recentAnalystNote"", ""MitigationString"": """", ""Criticality"": 3.0}]}"
